interest,registration,vote_2016,vote_intention,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,state,congress_district,language,vote_biden,age_group,race,education_level,stateicp
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Moderate,Homemaker,The United States,female,South,not hispanic,White,"Less than $50,000",FL,FL05,"No, we speak only English.",0,age_18-29,white,Some post secondary,florida
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Moderate,Retired,The United States,female,Northeast,not hispanic,White,"Less than $50,000",PA,PA12,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,pennsylvania
Hardly at all,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",Not Sure,Student,The United States,female,Northeast,not hispanic,White,"Less than $50,000",CT,CT02,"No, we speak only English.",1,age_18-29,white,Some post secondary,connecticut
Most of the time,Registered,Hillary Clinton,"Yes, I already voted",Very Liberal,Full-time employed,The United States,male,South,hispanic,White,"Less than $50,000",TX,TX04,"Yes, we speak Spanish.",1,age_18-29,white,High school or less,texas
Some of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,female,Northeast,not hispanic,White,"Less than $50,000",RI,RI02,"No, we speak only English.",0,age_30-44,white,Some post secondary,rhode island
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Retired,The United States,female,South,not hispanic,"Black, or African American","Less than $50,000",AL,AL07,"No, we speak only English.",1,age_60_or_more,black,Post secondary or higher,alabama
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Liberal,Retired,The United States,female,Northeast,not hispanic,White,"Less than $50,000",NJ,NJ11,"No, we speak only English.",1,age_60_or_more,white,High school or less,new jersey
Some of the time,Registered,Donald Trump,"Yes, I already voted",Liberal,Full-time employed,The United States,male,West,not hispanic,White,"$50,000 to $99,999",AZ,AZ07,"No, we speak only English.",0,age_30-44,white,Graduate degree,arizona
Some of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Homemaker,Another country,female,Midwest,not hispanic,White,"Less than $50,000",IL,IL14,"No, we speak only English.",0,age_45-59,white,High school or less,illinois
Some of the time,Don't know,Hillary Clinton,"Yes, I will vote",Liberal,Part-time employed,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",MI,MI04,"No, we speak only English.",1,age_18-29,white,High school or less,michigan
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Self-employed,The United States,male,South,hispanic,"Black, or African American","Less than $50,000",TX,TX20,"Yes, we speak Spanish.",1,age_18-29,black,High school or less,texas
Only now and then,Not registered,Donald Trump,"No, I will not vote but I am eligible",Moderate,Student,The United States,female,West,not hispanic,White,"$50,000 to $99,999",AZ,AZ08,"No, we speak only English.",0,age_18-29,white,Post secondary or higher,arizona
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,female,South,not hispanic,White,"$50,000 to $99,999",VA,VA01,"No, we speak only English.",1,age_45-59,white,Some post secondary,virginia
Only now and then,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Retired,The United States,male,Northeast,not hispanic,White,"Less than $50,000",NY,NY05,"No, we speak only English.",0,age_60_or_more,white,High school or less,new york
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Very Liberal,Student,The United States,female,South,not hispanic,White,"$50,000 to $99,999",FL,FL10,"No, we speak only English.",1,age_18-29,white,Some post secondary,florida
Some of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Retired,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",IL,IL13,"No, we speak only English.",0,age_60_or_more,white,Post secondary or higher,illinois
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Retired,The United States,male,South,not hispanic,White,"$150,000 to $199,999",FL,FL07,"No, we speak only English.",0,age_60_or_more,white,Graduate degree,florida
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Part-time employed,The United States,female,South,not hispanic,White,"$50,000 to $99,999",FL,FL09,"No, we speak only English.",1,age_18-29,white,Post secondary or higher,florida
Only now and then,Not registered,"Did not vote, but was eligible","Yes, I will vote",Conservative,Homemaker,The United States,female,South,not hispanic,White,"$100,000 to $149,999",TN,TN06,"No, we speak only English.",0,age_30-44,white,Post secondary or higher,tennessee
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Full-time employed,The United States,male,South,not hispanic,White,"$50,000 to $99,999",MS,MS04,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,mississippi
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Unemployed or temporarily on layoff,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",MI,MI05,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,michigan
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Retired,The United States,male,Midwest,not hispanic,White,"Less than $50,000",MI,MI14,"No, we speak only English.",1,age_60_or_more,white,Graduate degree,michigan
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Full-time employed,The United States,female,South,not hispanic,White,"Less than $50,000",FL,FL22,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,florida
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Homemaker,The United States,female,West,not hispanic,White,"$150,000 to $199,999",CO,CO04,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,colorado
Some of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,female,South,not hispanic,White,"$50,000 to $99,999",LA,LA04,"No, we speak only English.",0,age_30-44,white,Graduate degree,louisiana
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,White,"$200,000 to $249,999",WI,WI07,"No, we speak only English.",0,age_30-44,white,Graduate degree,wisconsin
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Full-time employed,The United States,female,Northeast,not hispanic,White,"Less than $50,000",NY,NY27,"No, we speak only English.",0,age_60_or_more,white,Post secondary or higher,new york
Most of the time,Registered,Don't recall,"Yes, I will vote",Liberal,Full-time employed,The United States,male,West,not hispanic,White,"Less than $50,000",CA,CA40,"No, we speak only English.",0,age_18-29,white,Some post secondary,california
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Retired,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",NE,NE02,"No, we speak only English.",0,age_60_or_more,white,Some post secondary,nebraska
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Moderate,Full-time employed,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",OH,OH13,"No, we speak only English.",1,age_30-44,white,Some post secondary,ohio
Some of the time,Registered,Donald Trump,"Yes, I will vote",Very Liberal,Full-time employed,The United States,male,Northeast,hispanic,Pacific Islander (Guamanian),"Less than $50,000",NY,NY10,"No, we speak only English.",0,age_18-29,asian,High school or less,new york
